,Açıklamalar,Tarih,Toplam Vaka,Günlük Vaka,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani
,,26.09.2020,312.966,,312.966,1.511,7.929,71,274.514,1.232,9.936.581,102.009,,,1.615,,,
,,27.09.2020,314.433,,314.433,1.467,7.997,68,275.630,1.116,10.037.700,101.119,,,1.583,,,
,,28.09.2020,315.845,,315.845,1.412,8.062,65,277.052,1.422,10.153.223,115.523,,,1.596,,,
,,29.09.2020,317.272,,317.272,1.427,8.130,68,278.504,1.452,10.268.163,114.940,,,1.583,,,
,,30.09.2020,318.663,,318.663,1.391,8.195,65,279.749,1.245,10.380.261,112.098,,,1.516,,,
,,01.10.2020,320.070,,320.070,1.407,8.262,67,281.151,1.402,10.493.807,113.546,,,1.507,,,
,,02.10.2020,321.512,,321.512,1.442,8.325,63,282.657,1.506,10.608.664,114.857,,,1.455,,,
,,03.10.2020,323.014,,323.014,1.502,8.384,59,283.868,1.211,10.711.883,103.219,,,1.470,,,
,,04.10.2020,324.443,,324.443,1.429,8.441,57,285.050,1.182,10.816.285,104.402,,,1.475,,,
,,05.10.2020,326.046,,326.046,1.603,8.498,57,286.370,1.320,10.931.917,115.632,,,1.412,,,
,,06.10.2020,327.557,,327.557,1.511,8.553,55,287.599,1.229,11.044.338,112.421,,,1.414,,,
,,07.10.2020,329.138,,329.138,1.581,8.609,56,288.954,1.355,11.160.946,116.608,,,1.411,,,
,,08.10.2020,330.753,,330.753,1.615,8.667,58,290.352,1.398,11.278.047,117.101,,,1.403,,,
,,09.10.2020,332.382,,332.382,1.629,8.722,55,291.754,1.402,11.393.342,115.295,,,1.398,,,
,,10.10.2020,334.031,,334.031,1.649,8.778,56,293.145,1.391,11.506.444,113.102,,,1.414,,,
,,11.10.2020,335.533,,335.533,1.502,8.837,59,294.357,1.212,11.615.745,109.301,,,1.411,,,
,,12.10.2020,337.147,,337.147,1.614,8.895,58,295.658,1.301,11.731.350,115.605,,,1.417,,,
,,13.10.2020,338.779,,338.779,1.632,8.957,62,296.972,1.314,11.846.342,114.992,,,1.416,,,
,,14.10.2020,340.450,,340.450,1.671,9.014,57,298.368,1.396,11.961.670,115.328,,,1.418,,,
,,15.10.2020,342.143,,342.143,1.693,9.080,66,299.679,1.311,12.077.773,116.103,,,1.408,,,
,,16.10.2020,343.955,,343.955,1.812,9.153,73,301.098,1.419,12.194.778,117.005,,,1.445,,,
,,17.10.2020,345.678,,345.678,1.723,9.224,71,302.499,1.401,12.306.909,112.131,,,1.428,,,
,,18.10.2020,347.493,,347.493,1.815,9.296,72,304.003,1.504,12.408.312,101.403,,,1.427,,,
,,19.10.2020,349.519,,349.451,1.958,9.371,75,305.427,1.424,12.524.561,116.249,,,1.447,,,
,,20.10.2020,351.413,,351.345,1.894,9.445,74,306.939,1.512,12.641.126,116.565,,,1.545,,,
,,21.10.2020,353.426,,353.358,2.013,9.513,68,308.446,1.507,12.759.069,117.943,,,1.504,,,
,,22.10.2020,355.528,,355.460,2.102,9.584,71,310.027,1.581,12.876.267,117.198,,,1.599,,,
,,23.10.2020,357.693,,357.625,2.165,9.658,74,311.520,1.493,12.992.246,115.979,,,1.648,,,
,,24.10.2020,359.784,,359.716,2.091,9.727,69,313.093,1.573,13.105.673,113.427,,,1.699,,,
,,25.10.2020,361.801,,361.733,2.017,9.799,72,314.390,1.297,13.217.888,112.215,,,1.744,,,
,,26.10.2020,363.999,,363.931,2.198,9.874,75,316.008,1.618,13.350.801,132.913,,,1.780,,,
,,27.10.2020,366.208,,366.140,2.209,9.950,76,317.519,1.511,13.478.452,127.651,,,1.827,,,
,,28.10.2020,368.513,,368.445,2.305,10.027,77,319.181,1.662,13.606.764,128.312,,,1.836,,,
,,29.10.2020,370.832,,370.764,2.319,10.099,72,320.762,1.581,13.741.180,134.416,,,1.916,,,
,,30.10.2020,373.154,,373.086,2.322,10.177,78,322.465,1.703,13.877.705,136.525,,,1.966,,,
,,31.10.2020,375.367,,375.299,2.213,10.252,75,323.971,1.506,14.001.814,124.109,,,2.075,,,
,,01.11.2020,377.473,,377.405,2.106,10.326,74,325.486,1.515,14.125.157,123.343,,,2.177,,,
